close,volume,ADX,APO,CCI,MACD_Signal,MACD_Hist,OBV,RSI,SlowD,WMA,day_var_range,stock_id,Bband_width,day_diff,ATR,day_cos,target,last_target
60.5,15.137506635753848,44.2755,0.5032,82.8399,0.5498,-0.6394,17.370321360870424,74.258,93.7597,14.6911,0.01652892561983471,0,0.05610199372409153,0.0,0.02182013591685707,-0.9009688679024191,1,1.0
65.38,16.342110902231703,53.4677,0.5032,166.6667,0.5498,-0.6394,17.90990513560225,91.3537,93.7266,15.1562,0.06974609972468648,0,0.14110397065227434,0.06308943089430886,0.026669257026887355,1.0,1,1.0
66.63,16.08069498451473,61.0737,0.5032,110.9056,0.5498,-0.6394,18.188355179178572,92.8699,92.5265,15.6069,0.01695932763019654,0,0.17759452549833724,0.009545454545454477,0.025661081625580433,0.6234898018587336,1,1.0
67.94,15.57777272805943,67.5253,0.5032,89.2654,0.5498,-0.6394,18.3254905679473,94.2018,92.8031,16.0442,0.03311745657933471,0,0.19114072375063892,0.022576760987357013,0.026813186647715703,-0.22252093395631434,1,1.0
66.56,14.318284453390158,72.6866,0.5032,55.72,0.5498,-0.6394,18.288444523658512,75.6046,92.3203,16.2384,0.019831730769230668,0,0.15555719775347324,-0.008490987635930184,0.02625891479071807,-0.9009688679024191,0,1.0
67.06,15.264803426884688,71.8665,0.5032,31.6771,0.5498,-0.6394,18.381249459030407,78.1799,89.7331,16.3866,0.021473307485833548,0,0.05041314244565683,0.017911353976927852,0.026771462930605772,1.0,1,0.0
67.19,15.144043647091163,72.1875,0.5032,67.8234,0.5498,-0.6394,18.456864166512624,78.7339,82.7108,16.4359,0.021431760678672387,0,0.03020826361805566,0.008404622542398354,0.027524081058558848,0.6234898018587336,1,1.0
68.19,15.50759719484318,73.5879,0.5032,137.9286,0.5498,-0.6394,18.55648880175686,82.9071,76.7845,16.5348,0.0338759348878135,0,0.03651692188596192,0.02249212775528565,0.02838002897771994,-0.22252093395631434,1,1.0
67.44,14.681266023864206,74.7082,0.5032,40.161,0.5498,-0.6394,18.514103698612505,70.0245,69.0234,16.5443,0.013938315539738995,0,0.034350199162249274,0.006567164179104443,0.02727135802919134,-0.900968867902419,0,1.0
68.31,15.159445545485402,76.653,0.5032,110.555,0.5498,-0.6394,18.58161522737815,75.5364,67.5061,16.6304,0.017420582637973907,0,0.030420194342890155,0.0008791208791209124,0.026432344155331543,-0.9009688679024191,1,0.0
64.6,16.400549153228987,66.794,0.5032,-165.1903,0.5498,-0.6394,18.32563573998582,38.1466,61.4651,16.3821,0.08606811145510829,0,0.08039262365630781,-0.05264701569145041,0.033386262738858904,1.0,0,1.0
59.0,16.709713910362336,64.1668,0.5032,-148.7719,0.5498,-0.6394,17.81910952512947,19.7247,53.2973,15.7163,0.06779661016949153,0,0.2196891125773878,-0.056,0.03319131378333941,0.6234898018587336,0,0.0
60.0,16.11923510153787,62.065,0.2535,-84.1427,0.5498,-0.6394,18.130566395915075,27.536,35.4878,15.2661,0.025,0,0.24327103844465836,-0.0021619823715283977,0.03399538102031975,-0.22252093395631434,1,0.0
62.13,15.741611653988477,55.4553,0.0897,-35.5967,0.5498,-0.6394,18.299001137765877,42.4467,22.8116,15.1238,0.03428295509415734,0,0.21767677435565133,0.018524590163934467,0.03411193087180202,-0.900968867902419,1,1.0
63.25,15.583575004343805,46.1926,-0.0161,38.7622,0.5498,-0.6394,18.42329932248107,49.3033,20.6678,15.16,0.019762845849802372,0,0.13300791556728236,0.012,0.03410504237985919,-0.9009688679024191,1,1.0
62.0,14.842663006106644,40.7491,-0.1364,52.6841,0.5498,-0.6394,18.36597110470918,42.2768,32.3655,15.1766,0.026129032258064476,0,0.0999499229076341,-0.015873015873015872,0.03457061485708228,1.0,0,1.0
61.25,15.085439908804402,37.2786,-0.2502,-16.7631,0.5498,-0.6394,18.287775452428495,38.1943,45.366,15.1745,0.014367346938775435,0,0.06941250123562556,-0.00503573749187788,0.033864173483092584,0.6234898018587336,0,0.0
