close,volume,ADX,APO,CCI,MACD_Signal,MACD_Hist,OBV,RSI,SlowD,WMA,day_var_range,stock_id,Bband_width,day_diff,ATR,day_cos,target,last_target
534.81,14.673706390574033,22.0536,-0.3937,-38.6192,-0.5409,0.2211,-17.885084188279126,44.1969,48.2702,26.6376,0.01817467885791221,1,0.07047932246148307,0.01167145883777232,0.028644606416519468,0.6234898018587336,1,0.0
526.94,14.531739786558813,22.3951,-0.3937,-73.3096,-0.5409,0.2211,-18.415326445244126,37.2984,37.9515,26.4463,0.014460849432572975,1,0.0793456929702831,-0.012832761947582214,0.027677643963849575,-0.22252093395631434,0,1.0
525.16,14.445718471231567,24.693,-0.3937,-96.9302,-0.5409,0.2211,-18.73568125410604,35.7221,27.2669,26.2569,0.01814685048366207,1,0.03288659361920112,-0.00926292753787251,0.02729074784442056,-0.900968867902419,0,0.0
516.18,14.554873639739192,29.3365,-0.3937,-146.4596,-0.5409,0.2211,-19.002438163875407,28.2049,16.6335,26.0227,0.01797822465031595,1,0.046040572269595396,-0.012114600677499074,0.024448585098249636,-0.9009688679024191,0,0.0
517.15,15.017401496711141,36.5215,-0.3937,-113.3331,-0.5409,0.2211,-18.53748553239204,30.1885,14.7684,25.8706,0.03055206419800834,1,0.052627306672438964,-5.800688348345396e-05,0.02496515601107723,1.0,1,0.0
527.7,14.805683893741492,33.5506,-0.3937,28.3622,-0.5409,0.2211,-17.88549413635111,49.2507,22.2696,25.931,0.024900511654349033,1,0.037885156762176485,0.020893789901335013,0.024724981081717574,0.6234898018587336,1,1.0
526.66,14.373067656824212,31.1739,-0.3937,58.6574,-0.5409,0.2211,-18.35330086731807,47.6476,42.8995,25.9978,0.01040519500246842,1,0.03742624375908726,-0.0017816527672480185,0.022039100611790673,-0.22252093395631434,0,1.0
531.35,14.457522852642011,25.4372,-0.3937,92.4698,-0.5409,0.2211,-17.83149712175961,55.7644,65.27,26.1431,0.017032088077538258,1,0.04592416354602162,0.008043861812524917,0.020687722148189338,-0.900968867902419,1,0.0
527.93,14.336623683457717,20.6922,-0.3937,70.467,-0.5409,0.2211,-18.305898213524515,48.8594,80.0145,26.2113,0.01589206902430249,1,0.03616379195232593,-0.01092251199040775,0.018854060182871026,-0.9009688679024191,0,1.0
527.81,13.836587862709939,19.6793,-0.3298,-34.0408,-0.5409,0.2211,-18.512183694539324,48.5955,83.9885,26.2387,0.014361228472366814,1,0.012077580063036674,0.005697191418009785,0.018190375985349654,1.0,0,0.0
515.14,14.336920568952944,22.8716,-0.3373,-163.4571,-0.5409,0.2211,-18.780241526849384,28.3705,71.5835,26.021,0.022809333385099197,1,0.042331194035586696,-0.019210631532852334,0.018653841438068357,0.6234898018587336,0,0.0
509.96,14.983493735550631,30.0303,-0.361,-129.0702,-0.5409,0.2211,-19.151027370318836,23.3946,52.5947,25.7592,0.026237351949172365,1,0.06427606447405197,-0.011303049690765591,0.019831491689728295,-0.22252093395631434,0,0.0
511.0,14.516527192983752,35.1071,-0.3706,-74.834,-0.5409,0.2211,-18.935083966473357,26.6243,31.14,25.5699,0.02109589041095896,1,0.06175620553854338,0.004995476536994101,0.020126395682457984,-0.900968867902419,1,0.0
518.73,14.704553826394205,35.7319,-0.3339,-24.8309,-0.5409,0.2211,-18.591334504309774,47.2767,26.8169,25.5759,0.030266227131648425,1,0.05006275438987485,0.015624082232011782,0.02135519593059123,-0.9009688679024191,1,1.0
529.92,14.46119971166575,30.5472,-0.2465,130.9456,-0.5409,0.2211,-18.203295593677048,65.0678,37.6219,25.7975,0.021097524154589493,1,0.05540846981296642,0.012244274225898202,0.020409741926249343,1.0,1,1.0
533.09,14.315619563353792,29.9867,-0.1593,108.9114,-0.5409,0.2211,-17.675903391215286,68.7964,60.175,26.0647,0.012305614436586803,1,0.07243513257394094,0.004143984629584369,0.019150252204473122,0.6234898018587336,1,1.0
526.65,13.98820340717875,25.6703,-0.1128,48.0547,-0.5409,0.2211,-18.0817615299224,54.1255,77.2079,26.1658,0.01463970378809463,1,0.06086188841923431,-0.011913696060037567,0.019573703083035743,-0.22252093395631434,0,1.0
519.98,14.345962911204388,24.5111,-0.1037,-42.2218,-0.5077,0.2226,-18.471830037472287,42.4153,80.1536,26.1013,0.016250625024039473,1,0.04231589997433071,-0.010880730454631971,0.019495556777685864,-0.900968867902419,0,0.0
520.63,14.208363803149641,24.7987,-0.0857,-97.2188,-0.4613,0.2344,-18.141284264310674,43.894,68.4801,26.0178,0.012215969114342046,1,0.03909631098709341,-0.0014576420721532652,0.01912794678668982,-0.9009688679024191,1,0.0
528.86,14.057908350944627,21.6114,-0.0233,0.1515,-0.4134,0.1993,-17.730289781531088,60.1068,55.0776,26.0643,0.023062814355405973,1,0.03792160157763693,0.017625553203771342,0.019998105374993736,1.0,1,1.0
529.77,14.392068302744002,23.0404,0.0413,100.9214,-0.3658,0.1609,-16.492414098845437,61.6389,49.3302,26.1293,0.01874398323800907,1,0.03125227235325864,5.663155510245161e-05,0.019591570360284725,0.6234898018587336,1,1.0
538.94,13.991982539302668,25.7659,0.1417,118.1408,-0.3155,0.1443,16.047673293957907,74.146,59.0904,26.3571,0.013494637621998876,1,0.05238057297654147,0.011334209044849086,0.018317298927567373,-0.22252093395631434,1,1.0
545.06,14.292614544903419,31.5372,0.2495,118.4624,-0.2597,0.1959,17.542359967398387,79.6744,72.4554,26.6455,0.012512200491689128,1,0.06331650747781055,0.007262580156339419,0.01745892993564039,-0.900968867902419,1,1.0
552.7,14.47142357088215,37.9943,0.3688,106.9134,-0.1941,0.3145,18.198611627726,84.7597,86.8261,26.9773,0.017984440021711488,1,0.06687103601917162,0.009940430508350792,0.0162307512246467,-0.9009688679024191,1,1.0
565.95,14.556686184088251,45.6308,0.5276,128.1021,-0.1194,0.4102,18.619974135912802,90.119,93.0943,27.4223,0.020584857319551154,1,0.08905890461412791,0.01789568345323749,0.016179484541142864,0.6234898018587336,1,1.0
561.68,14.314770152338887,52.0247,0.6354,88.4532,-0.0388,0.4442,18.305314796034427,78.9371,95.3294,27.6739,0.012177752456915027,1,0.07204261054639934,-0.005118940078289848,0.016166698343175686,-0.22252093395631434,0,1.0
560.08,14.115912143344882,54.119,0.7134,43.9393,0.0464,0.4355,17.94419214869492,74.6015,91.505,27.7933,0.009445079274389307,1,0.052760917199468946,-0.00580456199520721,0.015647235891805153,-0.900968867902419,0,0.0
